Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Skin by Emely,New Quantity Skin by Emely,Stock Alert Enabled Skin by Emely,Stock Alert Count Skin by Emely
UHD4VOVAZDRHI6E4US65CJMZ,60 Minute Customized Facial 3 PKG,,Regular,,,Facial Packages,Facial Packages,,,,,visible,Other,,,,Y,,,,255.00,,N,,N,,N,,,,,,
UVU6DLDJ5DBOEQXTDNU6LL6Q,90 Minute Customized Facial 3 PKG,,Regular,,,Facial Packages,Facial Packages,,,,,visible,Physical good,,,,Y,N,N,N,360.00,,N,,N,,N,,,,,,
JY6Q72ETQSAZL5Y7F6PGKU2O,Acai Berry Moisturizer 1.7oz,,Regular,,"<p>The antioxidant-packed Acai Berry Moisturizer provides hydration and protects from environmental damage while relieving the surface signs of aging.</p><ul><li>Improves skin hydration to limit visible lines</li><li>Encourages proper moisture levels</li><li>Normalizes water/oil balance</li><li>Soothes and calms</li><li>Improves skin appearance</li></ul><p><br/></p><p>Tips for use:</p><ul><li>Apply a pea-sized amount after cleansing and toning, both morning and evening.</li><li>Apply after cleansing and exfoliating/toning the skin.</li></ul><p><br/></p>","Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU), Moisturizers (25QTGWUHQDCYAHEXKJP7IH6F)",Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU),,,,,visible,Physical good,,,,Y,N,N,Y,37.00,,N,,N,,N,,,,,,
73DPJFPG4EHICC567QRBYTTK,Ageless Hydrating Serum 1oz,,Regular,,"<p>Skin type: all skin types</p><p><br/></p><p>The Ageless Skin Hydrating Serum restores moisture to maintain skin barrier function, improve hydration, lessen the appearance of wrinkles, improve the health of cell membranes, and plump the skin. This sophisticated serum contains the peptides Matrixyl Synthe’ 6, DN-AGE, and Lipomoist. Essential for dehydrated, dry, acneic, and milia-prone skin.</p><ul><li>Improves hydration</li><li>Balances surface lipids</li><li>Improves the health of cell membrane</li><li>Reduces the appearance of wrinkles</li><li>Plumps the skin</li></ul><p><br/></p><p>Tips for use:</p><ul><li>Apply one to two pumps to the entire face, morning and evening after cleansing and toning the skin.</li><li>Apply a moisturizer after the serum to seal the serum in the skin.</li></ul><p><br/></p>","Serums (CW5YBIPSCOGAYZJ2ZSAAFQKP), Serums (ZP6APGRP6MVEI6P7WSBTNBQI)",Serums (CW5YBIPSCOGAYZJ2ZSAAFQKP),,,,,visible,Physical good,,,,Y,N,N,Y,40.00,,N,,N,,N,,,,,,
FXNKITA76HOR43TF2KEQ4RJJ,Ageless Skin Moisturizer 2oz,,Regular,,"<p>Skin type: normal/combination</p><p><br/></p><p>Ageless Skin Moisturizer provides hydration without leaving a heavy feel on the skin’s surface. Relieves the surface signs of aging while promoting hydration and protecting from environmental stressors.</p><ul><li>Improves skin hydration</li><li>Encourages proper moisture levels</li><li>Normalizes water/oil balance</li><li>Soothes and calms</li><li>Improves skin appearance</li></ul><p><br/></p><p>Tips for use:</p><ul><li>Apply a pea-sized amount after cleansing and toning, both morning and evening.</li><li>Avoid contact with eyes. Flush completely if contact occurs.</li></ul><p><br/></p>","Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU), Moisturizers (25QTGWUHQDCYAHEXKJP7IH6F)",Moisturizers (CLILOHJKBUU4ZJZ4OXNRQEUU),,,,,visible,Physical good,,,,Y,N,N,Y,24.00,,N,,N,,N,,,,,,
IZGU5GG2RXDDPJW72E23DC7B,BIOREPEEL 4 PKG,,Regular,,,Facial Packages,Facial Packages,,,,,hidden,Physical good,,,,Y,N,N,N,640.00,,N,,N,,N,,,,,,
R2YDU6X7IUR4KUU2OCAODWU4,Beta-Carotene Papain Renewal Serum 1oz,,Regular,,"<p>Skin type: all skin types</p><p><br/></p><p>Our Beta-Carotene Papain Renewal Serum is the perfect mild exfoliation. Papain digests dead skin cells revealing softer, smoother skin. Olivem® and allantoin restore and normalize the skin to improve barrier function for even the most sensitive skin. Our pregnancy-friendly formulation affords excellent exfoliation without the use of acids or retinoids.</p><ul><li>Improves skin barrier integrity by balancing surface lipids</li><li>Exfoliates to minimize acne and/or impacted pores</li><li>Exfoliates to lessen the appearance of visible wrinkles</li><li>Provides calming benefits</li></ul><p><br/></p><p>Tips for use:</p><ul><li>Apply one to twp pumps of Beta-Carotene/Papain Renewal Serum to the skin every night after cleansing and/or exfoliating.</li><li>Apply moisturizer over the serum.</li><li>Reduce usage if flaking occurs.</li><li>Avoid getting into the eyes. Flush completely if contact occurs.</li><li>Always use sunscreen when using this product.</li></ul><p><br/></p><p><br/></p>","Exfoliants (KM3YXNYXVWDIBAXWW772GXF5), Exfoliants (755RWOQD2JIY46E6JDU7ZOKG)",Exfoliants (KM3YXNYXVWDIBAXWW772GXF5),,,,,visible,Physical good,,,,Y,N,N,Y,36.50,,N,,,,N,,,,,,
ZFMKHXDPHALHN3QQ4UJ4T2ID,Blemish Spot Treatment,,Regular,,<p>Skin type: acneic skin</p><p><br/></p><p>Our Blemish Spot Treatment is perfect to aid in alleviating active breakouts and treating cystic acne.</p><ul><li>Soothes skin irritation</li><li>Clarifies breakouts</li><li>Assists in boosting hydration levels</li><li>Limits scarring</li></ul><p><br/></p><p>Tips for use: </p><ul><li>Apply a pea-sized amount to active breakouts as needed.</li><li>The serum can be applied over makeup because it will penetrate through the makeup.</li><li>Always wear sunscreen when using this product.</li></ul><p><br/></p>,"Serums (CW5YBIPSCOGAYZJ2ZSAAFQKP), Serums (ZP6APGRP6MVEI6P7WSBTNBQI)",Serums (CW5YBIPSCOGAYZJ2ZSAAFQKP),,,,,visible,Physical good,,,,Y,N,N,Y,23.00,,N,,N,,N,,,,,,
E6VIVOXRWK2RGKAVOCNRYTES,Botanical Bloom Hydrating Mask,,Regular,,"<p>Experience intense hydration and radiant skin with our Botanical Bloom Hydrating Mask, powered by our exclusive Super Floral Complex. This luxurious blend of rose, orchid, and daisy works to visibly brighten, calm, and restore your complexion—helping to fade dark spots, reduce redness, and enhance your skin’s natural glow.</p><p>Infused with our Triple HA Complex, featuring three molecular weights of hyaluronic acid, this mask delivers deep, targeted hydration exactly where your skin needs it most.</p><p>Gentle yet effective, it’s perfect for all skin types, especially those dealing with dryness, sensitivity, or dullness. Reveal a plumper, more luminous complexion with every use.</p><p><br/></p><p><strong><u>Key Points</u></strong></p><ul><li>Brightening</li><li>Reduces the appearance of fine lines</li><li>Enhances luminosity</li><li>Addresses concerns with redness, dark spots, fine lines, and dehydration</li></ul><p><br/></p><p><br/></p><p><strong><u>How to Use</u></strong></p><p>Best paired with our Revitalizing Cucumber Treatment.</p><p>Apply and remove after 10-15 minutes.</p><p>Apply and enjoy as an overnight hydrating treatment.</p><p><br/></p><p><br/></p><p><strong><u>Key Ingredients</u></strong></p><p><strong>Rosaliss™ (Water, Butylene Glycol, Rosa Centifolia (Rose) Flower Extract)</strong> Helps protect skin microbiome from UV damage with a pre-biotic and postbiotic effect. Exceptional in smoothing skin texture and reducing the signs of aging, redness and sensitivity.</p><p><strong>Orchistem™ (Water, Glycerin, Calanthe Discolor (Orchid) Extract, Xanthan Gum, Sodium Benzoate, Gluconolactone, Calcium Gluconate)</strong> Orchid stem cells that enhance and improve communication between skin stem cells and fibroblasts that result in a global rejuvenating effect.</p><p><strong>Bellis Perennis (Daisy) Flower Extract</strong> Highly efficient skin brightener that influences different pathways involved in melanin formation, antioxidant.</p><p><strong>Luminescine (Glycerin, Hydrolyzed Thapsus Flower, Citric Acid, Sodium Benzoate, Potassium Sorbate)</strong> Highly innovative; the first natural active ingredient for cosmetics based on plant photoluminescence, the emission of visible light by a substance caused by high (UV) energy light. It can absorb UV radiation and transform it into visible light, giving brightness and radiance to skin.</p><p><strong>Triple HA Complex (Sodium Hyaluronate (L), Hyaluronic Acid, Sodium Hyaluronate Crosspolymer-3</strong> is a powerful complex with three different forms of hyaluronic acid to defend against premature aging, keeping the skin hydrated and plump.</p><p><br/></p><p><br/></p><p><strong><u>Formula Composition</u></strong></p><p><em>Aqua (Water), Glycerin, Glucamine, Dimethicone, Bellis Perennis (Daisy) Flower Extract, Carbomer, Polysorbate 20, Styrene/Acrylates Copolymer, Isosorbide Dicaprylate, Hydroxyethylcellulose, Hydrolyzed Verbascum Thapsus Flower, Calanthe Discolor Extract, Rosa Centifolia Flower Extract, Sodium Hyaluronate (L), Sodium Hyaluronate Crosspolymer-3, Hyaluronic Acid, Aloe Barbadensis Flower Extract, Allantoin, Bisabolol (L-alpha), Simmondsia Chinensis (Jojoba) Seed Oil, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract,Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Sodium Benzoate,Gluconolactone, Alcohol, Xanthan Gum, Hamamelis Virginiana (Witch Hazel) Water,Sodium Polygamma-Glutamate, Calcium Gluconate, Sodium Gluconate, O-cymen-5-OL, Ethylhexylglycerin, Citric Acid, Phenoxyethanol,Fragrance/Parfum</em></p>",Masks,Masks,,,,,visible,Physical good,,,,Y,N,N,N,48.00,,N,,N,,N,,,,,,
HKMBBNXHBERNKRDBIJELDTUL,CIRCADIA HONEY MICROEXFOLIATING CLEANSER,,Regular,,,Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),Cleansers (PPHB3RRMRKUIHJOTFZQOSYQU),,,,,unavailable,Physical good,,,,Y,N,N,N,40.00,,Y,,N,,N,,,,,,
